"","Estimate","Std. Error","z value","Pr(>|z|)","Lower 95% CI","Upper 95% CI"
"(Intercept)",-4.61881857637266,2.55886275757161,-1.80502786353262,0.0710703219559024,-10.1115024784889,0.0695582210741209
"F2_scaled",2.17637064133804,1.39447323303209,1.56071166501047,0.118591797698721,-0.414492145741968,5.13191180368343
"vowelæ",2.90853242478464,2.62414287308465,1.1083742636946,0.267700214969147,-1.9284757543874,8.50588900880763
"vowelɑ",3.80639607827917,2.66130264924156,1.43027553794528,0.152637952754339,-1.10944834289452,9.466462067036
"vowelə",3.94715680779114,2.61761791948868,1.50791938670796,0.131575160207188,-0.87924760342966,9.53181058894309
"vowelɛ",8.11071647226478,2.73580563459653,2.96465376403136,0.00303023765138591,3.06336831431945,13.9153571254537
"vowelø",0.0157433472832362,3.17005056273907,0.00496627639580398,0.996037501027562,-6.67488272530838,6.30831587797241
"vowely",2.01831472131008,2.82499604415178,0.714448689402001,0.47494977367868,-3.57042607391131,7.86292781142385
"F1_scaled",0.168811028825737,0.227812694741263,0.74100799789697,0.458688590970028,-0.275669269418526,0.620089149718608
"F2_scaled:vowelæ",-4.24682752824889,1.55761327612248,-2.72649674559845,0.00640105838364887,-7.50898949536543,-1.34021949615643
"F2_scaled:vowelɑ",-3.35722722339208,1.553719948523,-2.16076727764455,0.0307133209562475,-6.58817010189421,-0.433321717660082
"F2_scaled:vowelə",-4.15839665303459,1.75895761092791,-2.36412556345851,0.0180726860861441,-7.87684580675542,-0.932010513127852
"F2_scaled:vowelɛ",-6.1552109058678,1.69915724199809,-3.62250811974866,0.000291760299663041,-9.70162056179535,-2.99245019662904
"F2_scaled:vowelø",-8.40414336969507,2.45245139499493,-3.42683381487055,0.000610662670308462,-14.5999874175714,-4.32482896692101
"F2_scaled:vowely",-7.66667127093768,2.44874100937118,-3.13086244792643,0.00174293775787297,-13.9359569438255,-3.63208816160593
